title,artist,weeks_in_top_40
The Alchemy,Taylor Swift,2
The All American Boy,Bill Parsons,13
The Alvin Twist,The Chipmunks With David Seville,1
The Americans (A Canadian's Opinion),Gordon Sinclair,4
The Angel Song,Great White,4
The Angels Listened In,The Crests,9
The Animal Song,Savage Garden,6
The Anthem,Pitbull Featuring Lil Jon,2
The April Fools,Dionne Warwick,3
The Archer,Taylor Swift,1
The Arms Of Orion,Prince With Sheena Easton,3
The Arms Of The One Who Loves You,Xscape,13
The Astronaut (Parts 1 & 2),Jose Jimenez,4
The Authority Song,John Cougar Mellencamp,9
The Baby,Blake Shelton,7
The Ballad Of Bonnie And Clyde,Georgie Fame,12
The Ballad Of Irving,Frank Gallop,5
The Ballad Of Jayne,L.A. Guns,4
The Ballad Of John And Yoko,The Beatles,8
The Ballad Of Paladin,Duane Eddy,3
The Ballad Of The Green Berets,SSgt Barry Sadler,11
The Battle Of Kookamonga,Homer And Jethro,7
The Battle Of New Orleans,Johnny Horton,18
The Beach Boys Medley,The Beach Boys,11
The Beat Goes On,Sonny & Cher,8
The Beatles' Movie Medley,The Beatles,8
The Beginning Of My End,The Unifics,4
The Belle Of St. Mark,Sheila E.,5
The Bells,The Originals,9
The Bertha Butt Boogie-Part 1,The Jimmy Castor Bunch,8
The Best,Tina Turner,8
The Best Day,George Strait,8
The Best Disco In Town,The Ritchie Family,11
The Best Of Times,Styx,15
The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,18
The Big Hurt,Miss Toni Fisher,14
The Bigger Picture,Lil Baby,5
The Bilbao Song,Andy Williams,2
The Bird,The Time,2
The Birds And The Bees,Jewel Akens,12
The Bitch Is Back,Elton John,9
The Black Dog,Taylor Swift,1
The Blob,The Five Blobs,3
The Blower's Daughter,Matt McAndrew,1
The Boll Weevil Song,Brook Benton,12
The Bones,Maren Morris,38
The Border,America,6
The Borderlines,Jeffrey Osborne,2
The Boss,Diana Ross,9
The Boss,Rick Ross Featuring T-Pain,12
The Bounce,The Olympics,2
The Box,Roddy Ricch,33
The Boxer,Simon & Garfunkel,9
The Boy From New York City,The Ad Libs,7
The Boy Is Mine,Ariana Grande,3
The Boy Is Mine,Brandy & Monica,27
The Boy Next Door,The Secrets,6
The Boys Are Back In Town,Thin Lizzy,9
The Boys Of Summer,Don Henley,14
The Boys Of Summer,The Ataris,8
The Boys of Fall,Kenny Chesney,10
The Breakdown (Part I),Rufus Thomas,4
The Breakup Song (They Don't Write 'Em),Greg Kihn Band,13
The Business,Yung Berg Featuring Casha,4
The Cajun Queen,Jimmy Dean,5
The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation",16
The Captain Of Her Heart,Double,9
The Cat In The Window (The Bird In The Sky),Petula Clark,4
The Catalyst,Linkin Park,2
The Cave,Mumford & Sons,1
The Cha-Cha-Cha,Bobby Rydell,8
The Chain Of Love,Clay Walker,1
The Cheater,Bob Kuban And The In-Men,7
The Children's Marching Song (Nick Nack Paddy Whack),"Mitch Miller and his ""Sing Along With Mitch"" Chorus",10
The Children's Marching Song (Nick Nack Taddy Whack),Cyril Stapleton And His Orchestra,10
The Chipmunk Song,The Chipmunks With David Seville,11
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,2
The Chokin' Kind,Joe Simon,11
The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,2
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",6
The Christmas Song (Merry Christmas To You),Nat King Cole,29
The Cinnamon Cinder (It's A Very Nice Dance),The Pastel Six,5
The Circle Is Small (I Can See It In Your Eyes),Gordon Lightfoot,3
The Cisco Kid,War,12
The City Of New Orleans,Arlo Guthrie,9
The Clapping Song,Pia Zadora,3
The Clapping Song (Clap Pat Clap Slap),Shirley Ellis,7
The Class,Chubby Checker,2
The Climb,Miley Cyrus,26
The Closer I Get To You,Roberta Flack With Donny Hathaway,14
The Closer You Get,Alabama,3
The Colour Of Love,Billy Ocean,8
The Composer,Diana Ross & The Supremes,5
The Continental Walk,Hank Ballard And The Midnighters,3
"The Cover Of ""Rolling Stone""",Dr. Hook And The Medicine Show,11
The Cowboy In Me,Tim McGraw,5
The Crowd,Roy Orbison,6
"The Crying Game (From ""The Crying Game"")",Boy George,9
The Cure,Lady Gaga,1
The Curly Shuffle,Jump 'n The Saddle,7
The Cut Off,J. Cole Featuring kiLL edward,1
The Dangling Conversation,Simon & Garfunkel,4
The Dawn Of Correction,The Spokesmen,3
The Day I Found Myself,The Honey Cone,6
The Day That Never Comes,Metallica,1
The Day The Rains Came,Jane Morgan,10
The Day The Rains Came,Raymond Lefevre and His Orchestra,5
The Day The World Went Away,Nine Inch Nails,1
The Days Of Sand And Shovels,Bobby Vinton,2
The Deeper The Love,Whitesnake,6
The Devil Went Down To Georgia,The Charlie Daniels Band,12
The Diary,Neil Sedaka,9
The Diner,Billie Eilish,1
The Dis-Advantages Of You,The Brass Ring featuring Phil Bodner,2
The Doctor,The Doobie Brothers,9
The Door,Teddy Swims,11
The Door Is Still Open To My Heart,Dean Martin,8
The Dream,Irene Cara,3
The Dream Is Still Alive,Wilson Phillips,9
The Drum,Bobby Sherman,5
The Duck,Jackie Lee,9
"The Earth, The Sun, The Rain",Color Me Badd,19
The Edge Of Glory,Lady Gaga,22
The Edge Of Heaven,Wham!,8
The Emptiness Machine,Linkin Park,1
The Enchanted Sea,The Exotic Sounds of Martin Denny,2
The Enchanted Sea,The Islanders,8
The End,Earl Grant,13
The End Of Our Road,Gladys Knight And The Pips,8
The End Of Our Road,Marvin Gaye,2
The End Of The Innocence,Don Henley,12
The End Of The World,Skeeter Davis,13
The Entertainer,Billy Joel,5
The Entertainer,"Marvin Hamlisch/""The Sting""",12
The Entertainer,Tony Clarke,2
The Eyes Of A New York Woman,B.J. Thomas,7
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",7
The Family Of Man,Three Dog Night,8
The Feeling,Justin Bieber Featuring Halsey,1
The Fighter,Gym Class Heroes Featuring Ryan Tedder,6
The Fighter,Keith Urban Featuring Carrie Underwood,1
The Final Countdown,Europe,9
The Finer Things,Steve Winwood,12
The First Cut Is The Deepest,Rod Stewart,9
The First Cut Is The Deepest,Sheryl Crow,27
The First Day Of Summer,Tony Carey,2
The First Night,Monica,23
The First Time,Surface,18
The First Time Ever I Saw Your Face,Roberta Flack,15
The Fish,Bobby Rydell,5
The Flame,Cheap Trick,14
The Fly,Chubby Checker,11
The Fool On The Hill,Sergio Mendes & Brasil '66,10
The Fox,Ylvis,9
The Freeze,Tony And Joe,1
The Freshmen,The Verve Pipe,29
The Funky Judge,Bull & The Matadors,1
"The Future's So Bright, I Gotta Wear Shades",Timbuk 3,9
The Gambler,Kenny Rogers,13
The Game Of Love,Santana Featuring Michelle Branch,33
The Girl From Ipanema,Stan Getz/Astrud Gilberto,10
The Girl I Knew Somewhere,The Monkees,1
The Girl I Used To Know,Brother Beyond,4
The Girl Is Mine,Michael Jackson And Paul McCartney,14
The Git Up,Blanco Brown,15
The Giver,Chappell Roan,1
The Glamorous Life,Sheila E.,16
The Good Life,Tony Bennett,6
The Good Ones,Gabby Barrett,12
The Good Stuff,Kenny Chesney,12
"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus",14
The Goonies `R' Good Enough,Cyndi Lauper,9
The Graduation Song... Pomp And Circumstance,Adrian Kimberly,1
The Grass Is Greener,Brenda Lee,5
The Great Airplane Strike,Paul Revere & The Raiders Featuring Mark Lindsay,5
The Great Escape,Boys Like Girls,16
The Great War,Taylor Swift,1
The Greatest,Billie Eilish,1
The Greatest,Sia Featuring Kendrick Lamar,21
The Greatest Hurt,Jackie Wilson,4
The Greatest Love Of All,George Benson,7
The Groove Line,Heatwave,11
The Grudge,Olivia Rodrigo,1
The Guitar Man,Bread,9
The Gypsy Cried,Lou Christie,6
The Hair On My Chinny Chin Chin,Sam The Sham and the Pharaohs,5
The Hand That Feeds,Nine Inch Nails,2
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,10
The Hanging Tree,Marty Robbins,3
The Happening,Herb Alpert & The Tijuana Brass,3
The Happening,The Supremes,10
The Happiest Girl In The Whole U.S.A.,Donna Fargo,10
The Happy Organ,"Dave ""Baby"" Cortez",14
The Happy Reindeer,"Dancer, Prancer And Nervous",1
The Happy Song (Dum-Dum),Otis Redding,5
The Hardest Thing,98 Degrees,19
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,15
The Heart Of Rock & Roll,Huey Lewis & The News,14
The Heart Of The Matter,Don Henley,8
The Heart Part 4,Kendrick Lamar,1
The Heart Part 5,Kendrick Lamar,1
The Heart Wants What It Wants,Selena Gomez,15
The Heartbreak Kid,Bo Donaldson And The Heywoods,1
The Heat Is On,Glenn Frey,13
The Hills,The Weeknd,46
The Honeythief,Hipsway,6
The Hoochi Coochi Coo,Hank Ballard And The Midnighters,4
The Horse,Cliff Nobles & Co.,12
The House That Built Me,Miranda Lambert,12
The House That Jack Built,Aretha Franklin,8
The Hucklebuck,Chubby Checker,9
The Hula Hoop Song,Georgia Gibbs,1
The Hula Hoop Song,Teresa Brewer,1
The Humpty Dance,Digital Underground,14
The Hunter Gets Captured By The Game,The Marvelettes,7
The Hurt,Cat Stevens,5
The Hustle,Van McCoy & The Soul City Symphony,12
The Immigrant,Neil Sedaka,5
The Impossible,Joe Nichols,6
The Impossible Dream (The Quest),Jack Jones,4
The Jam - Part 1,Bobby Gregg and His Friends,5
The Jerk,The Larks,11
The Joker,The Steve Miller Band,16
The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,1
The Joker Went Wild,Brian Hyland,8
The Jolly Green Giant,The Kingsmen,9
The Jump Off,Lil' Kim Featuring Mr. Cheeks,11
The Kid's American,Matthew Wilder,4
The Killing Of Georgie (Part I And II),Rod Stewart,4
The Kind Of Boy You Can't Forget,The Raindrops,7
The Kind Of Love We Make,Luke Combs,31
The King Is Gone,Ronnie McDowell,9
The Lady In Red,Chris de Burgh,14
The Land Of Milk And Honey,The Vogues,4
The Language Of Love,Dan Fogelberg,10
The Last Farewell,Roger Whittaker,9
The Last Game Of The Season (A Blind Man In The Bleachers),David Geddes,6
The Last Great American Dynasty,Taylor Swift,1
The Last Mile,Cinderella,2
The Last Song,Elton John,9
The Last Time,The Rolling Stones,8
The Last Time I Made Love,Joyce Kennedy & Jeffrey Osborne,2
The Last Waltz,Engelbert Humperdinck,5
The Last Word In Lonesome Is Me,Eddy Arnold,1
The Last Worthless Evening,Don Henley,8
The Lazy Song,Bruno Mars,21
The Legend Of Wooley Swamp,The Charlie Daniels Band,4
The Lesson,Vikki Carr,1
The Letter,Joe Cocker with Leon Russell & The Shelter People,9
The Letter,The Arbors,3
The Letter,The Box Tops,13
The Lion Sleeps Tonight,Robert John,13
The Lion Sleeps Tonight,The Tokens,13
The Little Drummer Boy,The Harry Simeone Chorale,17
The Little Girl,John Michael Montgomery,4
The Little Girl I Once Knew,The Beach Boys,5
The Little Old Lady (From Pasadena),Jan & Dean,10
The Little Space Girl,Jesse Lee Turner,6
The Living Years,Mike + The Mechanics,14
The Loco-Motion,Grand Funk,14
The Loco-Motion,Kylie Minogue,13
The Loco-Motion,Little Eva,12
The Logical Song,Supertramp,13
The London,"Young Thug, J. Cole & Travis Scott",18
The Lonely Bull (El Solo Torro),Herb Alpert And Tijuana Brass,11
The Lonely One,Duane Eddy His Twangy Guitar And The Rebels,8
The Lonely Surfer,Jack Nitzsche,2
The Long And Winding Road/For You Blue,The Beatles,10
The Long Goodbye,Brooks & Dunn,3
The Long Run,Eagles,12
The Longest Time,Billy Joel,11
The Look,Roxette,13
The Look Of Love,Dusty Springfield,5
The Look Of Love,Sergio Mendes & Brasil '66,11
The Look Of Love (Part One),ABC,13
The Lord's Prayer,Sister Janet Mead,11
The Love I Lost (Part 1),Harold Melvin And The Blue Notes,12
The Love I Saw In You Was Just A Mirage,Smokey Robinson & The Miracles,7
The Love In Your Eyes,Eddie Money,7
The Love Of My Man,Theola Kilgore,8
The Love Parade,The Dream Academy,3
The Love We Had (Stays On My Mind),The Dells,6
The Love You Save/I Found That Girl,Jackson 5,12
The Lover In Me,Sheena Easton,14
The Lucky One,Laura Branigan,8
The Madison,Al Brown's Tunetoppers Featuring Cookie Brown,5
The Madison Time - Part I,Ray Bryant Combo,4
The Magnificent Seven,Al Caiola And His Orchestra,4
The Main Event/Fight,Barbra Streisand,13
The Majestic,Dion,1
The Man,Aloe Blacc,18
The Man,Taylor Swift,1
The Man He Sees In Me,Luke Combs,1
The Matador,Major Lance,6
The Memory Remains,Metallica,4
The Men In My Little Girl's Life,Mike Douglas,7
The Middle,Jimmy Eat World,26
The Middle,"Zedd, Maren Morris & Grey",35
The Minotaur,Dick Hyman & His Electric Eclectics,2
The Mocking Bird,The Four Lads,3
The Monkey Time,Major Lance,10
The Monster,Eminem Featuring Rihanna,25
The More I See You,Chris Montez,7
The Morning After,Maureen McGovern,11
The Morning Side Of The Mountain,Tommy Edwards,4
The Most Beautiful Girl,Charlie Rich,17
The Most Beautiful Girl In The World,Prince,22
The Motown Song,Rod Stewart,11
The Motto,Drake Featuring Lil Wayne,33
The Mountain's High,Dick and DeeDee,10
The Mummers' Dance,Loreena McKennitt,8
The Mummy,Bob McFadden And Dor,1
The Name Game,Shirley Ellis,10
The Name Of The Game,ABBA,9
The Need To Be,Jim Weatherly,8
The NeverEnding Story,Limahl,9
The New Girl In School,Jan & Dean,4
The Next Episode,Dr. Dre Featuring Snoop Dogg,9
The Next Time I Fall,Peter Cetera With Amy Grant,15
The Nickel Song,Melanie,3
The Night Chicago Died,Paper Lace,11
The Night Has A Thousand Eyes,Bobby Vee,11
The Night Is Still Young,Billy Joel,3
The Night Is Still Young,Nicki Minaj,5
The Night Owls,Little River Band,14
The Night The Lights Went Out In Georgia,Vicki Lawrence,14
The Night They Drove Old Dixie Down,Joan Baez,13
The Nitty Gritty,Gladys Knight And The Pips,8
The Nitty Gritty,Shirley Ellis,10
The Old Lamplighter,The Browns Featuring Jim Edward Brown,12
The Old Man Down The Road,John Fogerty,9
The Old Songs,Barry Manilow,10
The One,Backstreet Boys,4
The One,Elton John,18
The One,Gary Allan,5
The One And Only,Chesney Hawkes,14
The One I Gave My Heart To,Aaliyah,17
The One I Love,R.E.M.,10
The One That Got Away,Katy Perry,21
The One That You Love,Air Supply,14
The One Thing,INXS,5
The One Who Really Loves You,Mary Wells,10
The One You Love,Glenn Frey,11
The Only Exception,Glee Cast,1
The Only Exception,Paramore,10
The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,1
The Oogum Boogum Song,Brenton Wood,1
The Other Guy,Little River Band,13
The Other Man's Grass Is Always Greener,Petula Clark,2
The Other Side,Aerosmith,7
The Other Side,Jason Derulo,16
The Other Side Of The Door,Taylor Swift,1
The Other Woman,Ray Parker Jr.,14
The Painter,Cody Johnson,5
The Party Continues,JD Featuring Da Brat,9
The Party's Over (Hopelessly In Love),Journey,4
The Payback - Part I,James Brown,9
The Phoenix Love Theme (Senza Fine),The Brass Ring featuring Phil Bodner,4
The Pied Piper,Crispian St. Peters,8
The Pink Panther Theme,Henry Mancini And His Orchestra,2
"The Place Where You Belong (From ""Beverly Hills Cop III"")",Shai,6
The Plastic Man,The Temptations,2
The Pleasure Principle,Janet Jackson,10
The Politics Of Dancing,Re-flex,5
The Popcorn,James Brown,5
The Power,Snap!,16
The Power Of Gold,Dan Fogelberg/Tim Weisberg,7
The Power Of Good-Bye,Madonna,10
The Power Of Love,Celine Dion,26
The Power Of Love,Huey Lewis & The News,15
The Pretender,Foo Fighters,1
The Prisoner,Howard Jones,4
The Promise,When In Rome,13
The Promise Of A New Day,Paula Abdul,13
The Prophecy,Taylor Swift,1
The Proud One,The Osmonds,6
The Purple People Eater,Sheb Wooley,1
The Push And Kick,Mark Valentino,3
The Race Is On,Jack Jones,7
The Rain,Oran 'Juice' Jones,9
"The Rain, The Park & Other Things",The Cowsills,12
The Rains Came,Sir Douglas Quintet,5
The Rapper,The Jaggerz,11
The Real Love,Bob Seger & The Silver Bullet Band,5
The Real Slim Shady,Eminem,13
The Reason,Hoobastank,34
The Reflex,Duran Duran,15
The Relay,The Who,2
The Remedy (I Won't Worry),Jason Mraz,14
The Remorse,Drake,1
The Return Of The Red Baron,The Royal Guardsmen,5
The Rhythm Of The Night,Corona,20
The Riddle,Five For Fighting,1
"The Right Kind Of Love (From ""Beverly Hills, 90210"")",Jeremy Jordan,12
The Right Thing,Simply Red,6
The Right Thing To Do,Carly Simon,9
The Ringer,Eminem,2
The River,Good Charlotte Featuring M. Shadows And Synyster Gates,1
The River Is Wide,The Grass Roots,5
The River Of Dreams,Billy Joel,24
The Rockford Files,Mike Post,10
The Rose,Bette Midler,16
The Rubberband Man,The Spinners,17
The Runway,The Grass Roots,2
The Safety Dance,Men Without Hats,16
The Salt In My Tears,Martin Briley,3
The Same One,Brook Benton,10
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",10
The Search Is Over,Survivor,14
The Second Time Around,Shalamar,13
The Secret,Gordon MacRae,6
The Secret Garden,Quincy Jones,4
The Seduction (Love Theme),James Last Band,6
The Shelter Of Your Arms,Sammy Davis Jr.,9
The Shoop Shoop Song (It's In His Kiss),Betty Everett,10
The Shoop Shoop Song (It's In His Kiss),Cher,2
The Show Goes On,Lupe Fiasco,23
The Show Must Go On,Three Dog Night,12
The Sign,Ace Of Base,33
The Sign Of Fire,The Fixx,7
"The Sly, Slick, And The Wicked",The Lost Generation,5
The Smallest Man Who Ever Lived,Taylor Swift,2
The Smile Has Left Your Eyes,Asia,5
The Snake,Al Wilson,5
The Son Of Hickory Holler's Tramp,O.C. Smith,2
The Sound Of Silence,Simon & Garfunkel,12
The Sound Of Your Voice,38 Special,4
The South's Gonna Do It,The Charlie Daniels Band,3
The Space Between,Dave Matthews Band,14
The Star Spangled Banner,Whitney Houston,11
The Story In Your Eyes,The Moody Blues,7
The Story Of My Love,Conway Twitty,7
The Story Of My Love,Paul Anka,5
The Story Of O.J.,JAY-Z,1
The Straight Life,Bobby Goldsboro,2
The Streak,Ray Stevens,12
The Stripper,David Rose and His Orchestra,13
The Stroke,Billy Squier,11
The Sun Ain't Gonna Shine (Anymore),The Walker Bros.,7
The Sun Always Shines on T.V.,a-ha,8
The Sweet Escape,Gwen Stefani Featuring Akon,35
The Sweetest Days,Vanessa Williams,16
The Sweetest Taboo,Sade,13
The Sweetest Thing (I've Ever Known),Juice Newton,18
The Sweetest Thing This Side Of Heaven,Chris Bartley,2
The Switch-A-Roo,Hank Ballard And The Midnighters,4
The Tears Of A Clown,Smokey Robinson & The Miracles,14
The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,5
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,17
The Theme From Hill Street Blues,Mike Post featuring Larry Carlton,10
The Things We Do For Love,10cc,14
The Three Bells,The Browns,14
The Three Bells (The Jimmy Brown Story),Dick Flood,4
The Thrill Is Gone,B.B. King,8
The Tide Is High,Blondie,17
The Ties That Bind,Brook Benton,1
The Tijuana Jail,The Kingston Trio,9
The Time (Dirty Bit),The Black Eyed Peas,15
The Time Of My Life,David Cook,9
The Tortured Poets Department,Taylor Swift,3
The Tracks Of My Tears,Johnny Rivers,6
The Tracks Of My Tears,The Miracles,8
The Truth,Jason Aldean,1
The Truth,Tami Show,5
The Twelfth Of Never,Donny Osmond,9
The Twist,Chubby Checker,33
The Twist,Fat Boys,8
The Twist,Hank Ballard And The Midnighters,6
The Unforgiven,Metallica,1
The Unicorn,The Irish Rovers,9
The Unknown Soldier,The Doors,3
The Valley Road,Bruce Hornsby & The Range,11
The Very Thought Of You,Rick Nelson,5
The Village Of St. Bernadette,Andy Williams,9
The Voice,The Moody Blues,11
The Voice Within,Christina Aguilera,4
The Wah Watusi,The Orlons,11
The Waiting,Tom Petty And The Heartbreakers,7
The Wanderer,Dion,13
The Wanderer,Donna Summer,13
The War Song,Culture Club,7
The Warrior,Scandal Featuring Patty Smyth,15
The Watusi,The Vibrations,4
The Way,Ariana Grande Featuring Mac Miller,24
The Way He Makes Me Feel,Barbra Streisand,2
The Way I Am,Ingrid Michaelson,1
The Way I Are,Timbaland Featuring Keri Hilson,33
The Way I Feel About You,Karyn White,13
The Way I Feel Tonight,Bay City Rollers,9
The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,15
The Way I Walk,Jack Scott,4
The Way I Want To Touch You,Captain & Tennille,14
The Way It Is,Bruce Hornsby & The Range,15
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,11
The Way Of Love,Cher,10
The Way She Loves Me,Richard Marx,11
The Way That I Love You,Ashanti,1
The Way We Were,Barbra Streisand,17
The Way We Were/try To Remember,Gladys Knight And The Pips,12
The Way You Do The Things You Do,Rita Coolidge,7
The Way You Do The Things You Do,The Temptations,8
The Way You Do The Things You Do,UB40,15
The Way You Do The Things You Do/My Girl,Daryl Hall John Oates,7
The Way You Look Tonight,The Lettermen,9
The Way You Love Me,Faith Hill,34
The Way You Love Me,Karyn White,14
The Way You Make Me Feel,Michael Jackson,13
The Way You Move,OutKast Featuring Sleepy Brown,35
The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,3
The Wedding,Julie Rogers,9
The Weekend,SZA,7
The Weight,Aretha Franklin,6
The Wheel Of Hurt,Margaret Whiting,5
The White Knight,Cledus Maggard And The Citizen's Band,9
The Whole World,OutKast Featuring Killer Mike,15
The Wild Boys,Duran Duran,14
The Windmills Of Your Mind,Dusty Springfield,4
The Windows Of The World,Dionne Warwick,3
The Winner Takes It All,ABBA,16
The Witch Queen Of New Orleans,Redbone,7
The Woman In Me,Donna Summer,6
The Woman In You,Bee Gees,6
The Woman With You,Kenny Chesney,3
The Wonder Of You,Ray Peterson,7
The Wonder Of You/Mama Liked The Roses,Elvis Presley,11
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,16
The Work Song,Herb Alpert & The Tijuana Brass,6
The World I Know,Collective Soul,24
The World I Know,David Cook,1
The World Is A Ghetto,War,9
The World Outside,The Four Coins,8
The World We Knew (Over And Over),Frank Sinatra,4
The World's Greatest,R. Kelly,2
The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,13
The Writing On The Wall,Adam Wade,9
Theme For Young Lovers,Percy Faith And His Orchestra,1
"Theme From ""A Summer Place""",The Lettermen,5
"Theme From ""Close Encounters Of The Third Kind""",John Williams,8
"Theme From ""Greatest American Hero"" (Believe It or Not)",Joey Scarbury,18
"Theme From ""Summer Of '42""",Peter Nero,8
"Theme From ""The Unforgiven"" (The Need For Love)",Don Costa And His Orchestra And Chorus,4
Theme From Ben Casey,Valjean on Piano,4
Theme From Cleopatra Jones,Joe Simon featuring The Mainstreeters,8
Theme From Close Encounters,Meco,6
Theme From Dixie,Duane Eddy,1
Theme From Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,10
Theme From Love Story,Francis Lai And His Orchestra,4
Theme From Magnum P.i.,Mike Post,7
Theme From Mahogany (Do You Know Where You're Going To),Diana Ross,13
"Theme From Mission: Impossible (From ""Mission: Impossible"")",Adam Clayton & Larry Mullen,10
"Theme From New York, New York",Frank Sinatra,6
Theme From S.W.A.T.,Rhythm Heritage,12
Theme From Shaft,Isaac Hayes,12
Theme From The Apartment,Ferrante & Teicher,15
Theme From The Dukes Of Hazzard (Good Ol' Boys),Waylon,10
Theme From The Men,Isaac Hayes,2
"Theme Song From ""Which Way Is Up""",Stargard,7
Themes From The Wizard Of Oz,Meco,3
Then,Brad Paisley,10
Then Came You,Dionne Warwicke & Spinners,15
Then He Kissed Me,The Crystals,9
Then The Morning Comes,Smash Mouth,20
Then You Can Tell Me Goodbye,The Casinos,10
There Goes Another Love Song,The Outlaws,3
There Goes My Baby,Donna Summer,8
There Goes My Baby,The Drifters,14
There Goes My Baby,Usher,10
There Goes My Everything,Engelbert Humperdinck,4
There Goes My Heart,Joni James,8
There Goes My Life,Kenny Chesney,10
There Is,The Dells,7
There Is A Mountain,Donovan,6
There Is No Arizona,Jamie O'Neal,3
There It Go! (The Whistle Song),Juelz Santana,19
There It Is,Tyrone Davis,3
There Must Be A Way,Joni James,4
There Must Be An Angel,Eurythmics,7
There She Goes,Babyface,2
There She Goes,Jerry Wallace,4
There She Goes,Sixpence None The Richer,7
There Was A Time,James Brown And The Famous Flames,4
There Will Never Be Another Tonight,Bryan Adams,4
There Will Never Be Another You,Chris Montez,2
There Won't Be Anymore,Charlie Rich,8
There You Go,P!nk,29
There You'll Be,Faith Hill,9
There! I've Said It Again,Bobby Vinton,12
There'll Be Sad Songs (To Make You Cry),Billy Ocean,14
There'll Come A Time,Betty Everett,6
There'll Never Be,Switch,3
There's A Kind Of Hush,Herman's Hermits,9
There's A Kind Of Hush (All Over The World),Carpenters,8
There's A Moon Out Tonight,The Capris,10
There's Gonna Be A Showdown,Archie Bell & The Drells,8
There's Got To Be A Word!,The Innocence,3
There's No Other (Like My Baby),The Crystals,7
There's Nothing Holdin' Me Back,Shawn Mendes,29
There's Something On Your Mind (Part 2),Bobby Marchan,4
There's The Girl,Heart,11
There's Your Trouble,Dixie Chicks,1
Therefore I Am,Billie Eilish,24
These Are The Times,Dru Hill,15
These Boots Are Made For Walkin',Jessica Simpson,5
These Boots Are Made For Walkin',Nancy Sinatra,12
These Days,Rascal Flatts,11
These Dreams,Heart,13
These Eyes,Jr. Walker & The All Stars,9
These Eyes,The Guess Who,11
These Words,Natasha Bedingfield,10
They Don't Care About Us,Michael Jackson,5
They Don't Know,Jon B,18
They Don't Know,Tracey Ullman,11
They Just Can't Stop It the (Games People Play),The Spinners,13
They Like It Slow,H-Town,8
They Want EFX,Das EFX,12
"They're Coming To Take Me Away, Ha-Haaa!",Napoleon XIV,5
Thieves In The Temple,Prince,9
Thin Line Between Love & Hate,The Persuaders,9
Things,Bobby Darin,9
Things A Man Oughta Know,Lainey Wilson,5
Things Can Only Get Better,Howard Jones,14
Things I Should Have Said,The Grass Roots,4
Things I'd Like To Say,New Colony Six,9
Things That Make You Go Hmmmm. . .,C+C Music Factory,12
Things'll Never Change/Rapper's Ball,E-40 Featuring Bo-Rock,4
Think,Aretha Franklin,9
Think,Brenda Lee,5
Think,Information Society,5
Think,James Brown And The Famous Flames,2
Think About Me,Fleetwood Mac,7
Think I'll Go Somewhere And Cry Myself To Sleep,Al Martino,4
Think I'm In Love,Eddie Money,12
Think It Over,Cheryl Ladd,3
Think It Over,The Crickets,4
Think Of Laura,Christopher Cross,11
Think Of You,Chris Young Duet With Cassadee Pope,1
Think Twice,Brook Benton,9
Think U The Shit (Fart),Ice Spice,1
Thinkin Bout You,Frank Ocean,7
Thinkin' Back,Color Me Badd,12
Thinkin' Bout It,Gerald Levert,9
Thinkin' Bout Me,Morgan Wallen,54
Thinkin' Problem,David Ball,1
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,5
Thinking Of You,Katy Perry,6
Thinking Of You,Loggins & Messina,8
Thinking Of You,SaFire,12
Thinking Of You,Tony Toni Tone,8
Thinking Out Loud,Ed Sheeran,50
Thinking With My Dick,Kevin Gates Featuring Juicy J,1
Third Rate Romance,Amazing Rhythm Aces,9
Third Time Lucky (First Time I Was A Fool),Foghat,10
Thirty-Three,The Smashing Pumpkins,2
This Afternoon,Nickelback,4
This Ain't A Love Song,Bon Jovi,13
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,13
This Bitter Earth,Dinah Washington,6
This Christmas,Donny Hathaway,4
This Could Be The Night,Loverboy,10
This D.J.,Warren G,14
This Diamond Ring,Gary Lewis And The Playboys,11
This Door Swings Both Ways,Herman's Hermits,5
This Friendly World,Fabian,9
