title,artist,uri
A Little Bit More,Dr. Hook,spotify:track:0IyaUK4bo54AnnNVhS9RSW
Rainbow In Your Eyes,Leon & Mary Russell,spotify:track:0sL2gIDdJ5Qb4J9C7ggmln
Ten Percent,Double Exposure,spotify:track:1qmlfasrWm00RrnizxPxaq
Hold On,Sons Of Champlin,spotify:track:1ZpxbubLYimCNuabbXbrzD
Play That Funky Music,Wild Cherry,spotify:track:5uuJruktM9fMdN9Va0DUMl
Wham Bam (Shang-A-Lang),Silver,spotify:track:3qrEG6rQ9Qm72MNWeUKKiU
Happy Man (Pt. I),Impact,
Will You Love Me Tomorrow,Dana Valery,
Hot Stuff/fool To Cry,The Rolling Stones,
Steppin' Out,Neil Sedaka,
Another Rainy Day In New York City,Chicago,spotify:track:19PKMOoh2Rra8T50wrkq1X
"Baby, I Love Your Way",Peter Frampton,spotify:track:0LdHslmYWhOcyr23vUAXxw
Blt,Lee Oskar,spotify:track:2FEtG35oVdsJv8ZSP3y4Yu
Who'd She Coo?,Ohio Players,spotify:track:3mEuHKihITO7c8hbwMA8Et
Cotton Candy,The Sylvers,spotify:track:56GFKdXSeQBvX0Mv6wWTdc
Better Place To Be (Parts 1 & 2),Harry Chapin,
Hard Work,John Handy,spotify:track:4URLJkB6D5QxvOB7H3kmGI
Let 'em In,Wings,spotify:track:37RqEET1SYQaAcHDxDQLZY
Don't Go Breaking My Heart,Elton John & Kiki Dee,spotify:track:7HW5WIw7ZgZORCzUxv5gW5
You Should Be Dancing,Bee Gees,spotify:track:4T5Y25pWs2pVZVcFIqFuf8
"Roots, Rock, Reggae",Bob Marley And The Wailers,spotify:track:1ATZfYmZOcm24vl5oQtPdC
Say You Love Me,Fleetwood Mac,spotify:track:6lrQo6KAYvb92MGk6ZuZlt
Don't Touch Me There,The Tubes,spotify:track:47khefI5yEHStaBNhu4GUb
Lowdown,Boz Scaggs,spotify:track:5QhikAUv91oMAaFnfKz22u
Shower The People,James Taylor,spotify:track:1Pwcxq35Hl2kqwUVd5XCRg
I Never Cry,Alice Cooper,spotify:track:7y5mfSJLUmPYmrI5hcCWnT
Devil Woman,Cliff Richard,spotify:track:2oRn0QuaWQ1hragGQ7XZ9s
I've Been Lovin' You,Easy Street,spotify:track:0xxVL8FsxyXyIe84B9r5k0
Dancin' Kid,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,spotify:track:5rT72FJ4t4lyjLenUunH6M
Breaker - Breaker,Outlaws,spotify:track:2DneH1ZWt73gK7WjQD7ZcK
Rhiannon (Will You Ever Win),Fleetwood Mac,spotify:track:4fbwTO3DJ2qryMddov9RbB
Say You Love Me,D.J. Rogers,spotify:track:3REPEslblSsgtY427PdubY
"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band,spotify:track:3Is0Nnz59rzbNZE491URlY
Summer,War,spotify:track:0gSgUkFCEkXXFHOnpDnHeO
Hell Cat,Bellamy Brothers,spotify:track:3HMMk3TavbTGLx8GpcpaI7
Springtime Mama,Henry Gross,spotify:track:0wtqqSTlOJJjred8ySfNDI
Kid Charlemagne,Steely Dan,spotify:track:3sqNXrDvCy4nid6XbaA2Cg
"Try Me, I Know We Can Make It",Donna Summer,spotify:track:1bHq4U7NKCgeIuX0o9geEC
Honey Child,Bad Company,spotify:track:2qsBXEsoTRDGChjUPyFT6h
Gotta Be The One,Maxine Nightingale,spotify:track:0aord9VSv8dG5IckOo7jmI
Getaway,"Earth, Wind & Fire",spotify:track:67J6NR2Tdl0h2epWHcCBBN
Wake Up Susan,The Spinners,spotify:track:6oV96Q5ejobnSXzl59kEOu
Magic Man,Heart,spotify:track:4sUlsy0tPv9n5nqrqeA0lE
Devil With A Blue Dress,Pratt & McClain,spotify:track:2bZKmeIiF79MMBH9VINdpM
Light Up The World With Sunshine,"Hamilton, Joe Frank & Dennison",
Street Singin',Lady Flash,
Hey Shirley (This Is Squirrely),Shirley & Squirrely,
"Mary Hartman, Mary Hartman",The Deadly Nightshade,spotify:track:65r9KhMTzvzHiw5BmeTxZa
You To Me Are Everything,The Real Thing,spotify:track:0EmxQTU99SJpYWh5FsPh2l
You To Me Are Everything,Broadway,
Up The Creek (without A Paddle),The Temptations,spotify:track:3hxOKqQD5KYEjNZ7Krukjk
Rock Creek Park,The Blackbyrds,spotify:track:2JgBVzKUpiMSxPb4H9tbQV
Teddy Bear,Red Sovine,spotify:track:50hbhWWZ5b36hC6x7dh4bP
With Your Love,Jefferson Starship,spotify:track:62NJcC5piTuieIFiDZxiz1
Rocky Mountain Music,Eddie Rabbitt,spotify:track:3373VKGKgKdlBHccBgh645
Struttin' My Stuff,Elvin Bishop,spotify:track:0Rfe5GeoCndpMJiniBiI8E
(The System Of) Doctor Tarr And Professor Fether,The Alan Parsons Project,spotify:track:2IfpSQcggsntXGjXRFWj1b
Funny How Time Slips Away,Dorothy Moore,spotify:track:4EmDfJApR28fMkhXZw6bKD
"Baby, We Better Try To Get It Together",Barry White,spotify:track:1JUjt5q1mlm7DvvkaFpkEh
Can't Change My Heart,Cate Bros.,
Solitary Man,T.G. Sheppard,
Still The One,Orleans,spotify:track:2dtK02TSAuTvVYU2wGAVG0
Ode To Billy Joe - Main Title,Bobbie Gentry,
(Don't Fear) The Reaper,Blue Oyster Cult,spotify:track:5QTxFnGygVM4jFQiBovmRo
The More You Do It (The More I Like It Done To Me),Ronnie Dyson,spotify:track:7AuAson3xLOLK4cfaSwdJZ
Hideaway,John Sebastian,spotify:track:51NG9ouCDAfQSRx9buc1EV
"You To Me Are Everything, Part I",Revelation,
One Love In My Lifetime,Diana Ross,spotify:track:1Q0upLHepnwMjcb7kUpoiv
"No, No, Joe",Silver Convention,spotify:track:2msoRIPYKdmewjWzSoEiJw
I Can't Hear You No More/Music Is My Life,Helen Reddy,
Don't Stop Believin',Olivia Newton-John,spotify:track:4nfUPgbMIXqD3YuIcUdA4i
Popsicle Toes,Michael Franks,spotify:track:2gLzBIXTrphTRCZoSRpKZJ
Superstar,Paul Davis,spotify:track:4cKjhGj5C7X4rzbNNc4Ai0
Rescue Me,Melissa Manchester,spotify:track:2e4Up4ShrmiVNnpmZn3aaK
Party Line,Andrea True Connection,spotify:track:7ibmqk9QDdYeBKiDhgNtJh
Out Of The Darkness,David Crosby/Graham Nash,spotify:track:03DX9rydcmzoSmDmdPYLp0
If You Leave Me Now,Chicago,spotify:track:0KMGxYKeUzK9wc5DZCt3HT
Get Up Offa That Thing,James Brown,spotify:track:5XeSAezNDk9tuw3viiCbZ3
Party,Van Mccoy,spotify:track:1GUwPOr7b5y5mek1VaifP8
Can You Do It,Grand Funk Railroad,spotify:track:1Z6yuxy7h6t9kaAAu6D1Dk
Get The Funk Out Ma Face,The Brothers Johnson,spotify:track:00PLtXXER1XcTRZvs3LioS
Rock'n Me,Steve Miller,spotify:track:1orVKbp6vqtfAPOmvRofVq
Sunrise,Eric Carmen,spotify:track:3GCXXFJWf8Ey0xG7ZnBH5V
After The Dance,Marvin Gaye,spotify:track:0m6i2lZNgIV4OOyEkFlKFz
Disco Duck (Part I),Rick Dees & His Cast Of Idiots,
We're All Alone,Frankie Valli,spotify:track:0ZYNt9bvCVjK8cwyrvF8H0
The Princess And The Punk,Barry Mann,spotify:track:66YKPWXATVjrZ3DfohRd7b
Rose Of Cimarron,Poco,spotify:track:6F6wNXQ5MSL2uH96sB6Mmv
Listen To The Buddha,Ozo,spotify:track:5LcKuJLxeIIDrueZRUfwrD
That'll Be The Day,Linda Ronstadt,spotify:track:65iBjEuahF9UMaovP6ouX1
You Are The Woman,Firefall,spotify:track:4iiLzvbh0bXMnomiB6DIuk
Take A Hand,Rick Springfield,spotify:track:3pSLKKhqq8BbYwIvYV48VE
Howzat,Sherbet,spotify:track:1laieBLMi5XEmtlzvaEvbA
Amber Cascades,America,spotify:track:6Od3MYcQwJDSIbOfyxGLCx
It's O.k.,The Beach Boys,spotify:track:3XGFx684U6qvhIFsvb1T8H
Roxy Roller,Sweeney Todd,spotify:track:6z3JVDbqyg6jrhMT8c9cBn
Harvest For The World,The Isley Brothers,spotify:track:4yumMRCiPOmwB9sfwJkTcB
Heart On My Sleeve,Gallagher And Lyle,spotify:track:1H4MBlpcL7taoclOZ6KNT6
Free Spirit,Atlanta Rhythm Section,spotify:track:6gRTx0Q4jZAxJ0gmzrazr9
Brand New Love Affair,Jigsaw,spotify:track:1jPnPSdrATkLZ1Ka2DQpfT
The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,spotify:track:536L9C0N7vhYdibCJx3cI2
The Best Disco In Town,The Ritchie Family,spotify:track:79eNiy8GqOx646aVCNtPd1
You Are My Starship,Norman Connors,spotify:track:2zb9ytpjyulpBqdu22wcD7
Let Me In,Derringer,spotify:track:4YPlR0R5VmhZ0Dtnf6Yh6m
Did You Boogie (With Your Baby),Flash Cadillac And The Continental Kids,spotify:track:5C02qr4wbTqlAyj4Xmq12M
Nadia's Theme (The Young And The Restless),Barry DeVorzon And Perry Botikin Jr.,
Wheels Of Fortune,The Doobie Brothers,spotify:track:5g7aKEM3a2S0TJazJ8cgX7
Grasshopper,Spin,
Let's Rock,Ellison Chase,
One For The Money (part 1),The Whispers,
Fernando,ABBA,spotify:track:4BM8yJ0PzBi2ZewpMTOxtx
Beth/Detroit Rock City,KISS,
Queen Of My Soul,Average White Band,spotify:track:6Z4DwTHV87Go5CO6Yn0dd8
I Only Want To Be With You,Bay City Rollers,spotify:track:2vloGZOASh0PPNOGrFNMAO
Goofus,Carpenters,spotify:track:0akS5CnravKgyWljlRiJms
Teddy Bear's Last Ride,Diana Williams,
Anything You Want,John Valenti,
Fire,Mother's Finest,spotify:track:19pM2X8hdrLb8YW0WegADR
Sweet Summer Music,Attitudes,spotify:track:6JKOfLTkmkYriaYwUsmsKh
Like A Sad Song,John Denver,spotify:track:69EkMYkCSqbl4ZoX6HQryg
Satin Sheets,Bellamy Brothers,spotify:track:4yHq1fsp9vhX1T34zoHnAu
Message In Our Music,The O'Jays,spotify:track:1lYCmnucH0yo2XGzd2h57r
Don't Think....Feel,Neil Diamond,spotify:track:3guzJOHZkrLwYIaVpB6Ztc
I Got To Know,Starbuck,spotify:track:4fbeUN6m8N1tjkL7jm4VEj
The Rubberband Man,The Spinners,spotify:track:13Mzsb8VzRSZ5w3pM48cn6
Mr. Melody,Natalie Cole,spotify:track:4TktoJxCnwbRfk90qOJzXq
It's Only Love,ZZ Top,spotify:track:1bN94WLByKJggk1cgDjhse
Love Of My Life,Gino Vannelli,spotify:track:2BI6qMfb8scz39V52reDzc
You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",spotify:track:2JurHS80N98Yt3CdIBYz9M
My Sweet Summer Suite,Love Unlimited Orchestra,spotify:track:0ir5YP0JZyDSY2wNsk8nj6
Sun...Sun...Sun...Pt. I,Ja-Kki,
Love So Right,Bee Gees,spotify:track:2rVxsVGLFssDfM5B9BUL0K
Do You Feel Like We Do,Peter Frampton,spotify:track:0qqRwBkq7oWv6QnIRLfQKe
This One's For You,Barry Manilow,spotify:track:567mtwGAxyinU8hpLOelSF
Just To Be Close To You,Commodores,spotify:track:60ijzJRo70XLwAEaX6y0eZ
More Than A Feeling,Boston,spotify:track:1QEEqeFIZktqIpPI4jSVSF
Nice 'N' Naasty,The Salsoul Orchestra,spotify:track:4mrXMHQbR41pBOpaRsFC1R
It's A Long Way There,Little River Band,spotify:track:6eVtCSzb3ZKRAA37dQWzbb
Gimme Your Money Please,Bachman-Turner Overdrive,spotify:track:6sqshZ3VTPTQL2EW5c3WQ9
Made To Love You,Gary Wright,spotify:track:0VKllTnl6NOjxm3e6A6JxS
Cowboy Song,Thin Lizzy,spotify:track:2H82AQCQNc4TH2yVcYKIID
The End Is Not In Sight (the Cowboy Tune),Amazing Rhythm Aces,spotify:track:2XgmRcQs8o709APqLLNUVd
Roxy Roller,Sweeney Todd Featuring Bryan Guy Adams,
Let's Be Young Tonight,Jermaine Jackson,spotify:track:3L771lNX9w6XecLLgyG47Q
Muskrat Love,Captain & Tennille,spotify:track:3NRiJ7XFMALvrXXB1oRBFO
You Gotta Make Your Own Sunshine,Neil Sedaka,
Give It Up (turn It Loose),Tyrone Davis,spotify:track:711LK8KpaM6x6NM6mVDssL
Home Tonight,Aerosmith,spotify:track:0Vi6uYPn8XlNnoiOHlnzld
The Fez,Steely Dan,spotify:track:1FLQYGTaDYzGjpP9c82Q1G
Wanna Make Love (Come Flick My BIC),Sun,spotify:track:4BKGhFzEF2EmnmOXJZsM3t
I'll Play The Fool,Dr. Buzzard's Original Savannah Band,spotify:track:1bSE0n12PsKE9l6I6wGevd
A Dose Of Rock 'N' Roll,Ringo Starr,spotify:track:1g24LmZ5xzNyoh5vQkqGGU
Love Ballad,L.T.D.,spotify:track:3iCbTmcXnKlRZCdaYOukxq
Tonight's The Night (Gonna Be Alright),Rod Stewart,spotify:track:10LRRKPmx8uHcSxLVWK0ct
Jump,Aretha Franklin,spotify:track:43pQdSgEwhhT3Bde1ycXYl
Love Me,Yvonne Elliman,spotify:track:6j1MHXH5wJlGoDJdHMzT4t
Daylight,Vicki Sue Robinson,spotify:track:4doXgewLPFbx3W5WAcDITC
Here's Some Love,Tanya Tucker,spotify:track:3h4Dc99NgvRcDg6ywI087h
I Can't Live A Dream,The Osmonds,spotify:track:2GDtLoN8RcQ5lAjHwp2jGS
Stand Tall,Burton Cummings,spotify:track:14IKLtPlsqWL077svIJYey
Nights Are Forever Without You,England Dan & John Ford Coley,spotify:track:4XJhR31yvvrJl99caa0Xpj
Hot Line,The Sylvers,spotify:track:1RZbK7NUucHzQCZ0QkpR4H
So Sad The Song,Gladys Knight And The Pips,spotify:track:6sL0eQK0pBTxvHpFKwJiiy
Jeans On,David Dundas,spotify:track:2jxuI4zNuFKQfTryWQRq6M
Flowers,The Emotions,spotify:track:7BngbNGLogotcTM0PSvnYB
Can't You See,Waylon Jennings,spotify:track:3vGB7pK6KJaspU73i1M30n
Hello Old Friend,Eric Clapton,spotify:track:6R74C0CCtsvORQAjXvgYF2
California Day,Starland Vocal Band,spotify:track:0jcfDlcY16Oxq0oDI8YLyU
If I Only Could,The Rowans,spotify:track:3QuQ1h0J6DGyiuk1CraEWU
Shake Your Rump To The Funk,The Bar-Kays,spotify:track:6GcbXBic7GsE85wofV3Sd9
You Ought To Be Havin' Fun,Tower Of Power,spotify:track:0GEMqWyxl6gGHWFnFkB9Cc
The Raven,The Alan Parsons Project,spotify:track:7as0i6RfQ0agOKeFNffmdb
Groovy People,Lou Rawls,spotify:track:0OQiL1dLxtDWYIPiVV4rcq
Breezin',George Benson,spotify:track:1m3BAsNsQAaSNMD2M6vlKY
You Make Me Feel Like Dancing,Leo Sayer,spotify:track:6gTrbqZnyljwXdYQTyBkSx
Lets Get It Together,El Coco,spotify:track:5QRpwwrmTOvMRGQHZiH1ft
After The Lovin',Engelbert Humperdinck,spotify:track:0kFbymwTef1j4nIm8avRQH
Car Wash,Rose Royce,spotify:track:1D4seOF29tvkqMDwn9oXrH
Keep Me Cryin',Al Green,spotify:track:29vsrexDzpFMeYO4wcmTpT
Livin' Thing,Electric Light Orchestra,spotify:track:2hdNya0b6Cc2YJ8IyaQIWp
Dazz,Brick,spotify:track:5gQCUf4lfy6GpuhdPzxQ6B
"Find 'Em, Fool 'Em & Forget 'Em",Dobie Gray,spotify:track:47Dubh3wxTvoAYh441KuiS
Down To Love Town,The Originals,spotify:track:7LsD36exf1dVsSicJQMOKF
Full Time Thing (Between Dusk And Dawn),Whirlwind,
Peter Gunn,Deodato,spotify:track:3Jl5YXdcGnraKZxqiVOMOs
Whenever I'm Away From You,John Travolta,spotify:track:2Vsb0yyHKzthYDxNDqWjJ1
"Do What You Want, Be What You Are",Daryl Hall John Oates,spotify:track:4FhpiTXMhXagbYUJpPW0Dh
I Kinda Miss You,The Manhattans,spotify:track:3gIucYzBVZks7h7XHmo7tq
Don't Take Away The Music,Tavares,spotify:track:2VsK5maDIMwgWM0rLMFCLG
Catfish,Four Tops,spotify:track:6tRGxhyqh6ZcKFxPLw1o0N
Let Me Down Easy,American Flyer,spotify:track:4xhUmztVyoAEGucRM78p7X
Living It Down,Freddy Fender,spotify:track:6yzULWxYBDVcUGGgEAzTaK
Baby Boy,Mary Kay Place As Loretta Haggers,
Someday (I Didn't Want To Have to be the One),Henry Gross,
Things,Anne Murray,spotify:track:3x98txCasQ6MhjsbFhFM6m
Don't Fight The Hands (That Need You),"Hamilton, Joe Frank & Dennison",
Every Face Tells A Story,Olivia Newton-John,spotify:track:0XKMWf41IPSbQacyRU3agk
I Don't Wanna Lose Your Love,The Emotions,spotify:track:4XRIJv9wuuVilF6ohFeaVK
(one More Year Of) Daddy's Little Girl,Ray Sawyer,
Help Wanted,The Hudson Brothers,
I Like Dreamin',Kenny Nolan,spotify:track:09Eeqy05Rx6XfkRCuAUBMq
Slow Dancing,Funky Kings,spotify:track:39mQRZBaeYd31Y9uTE1i5h
Open Sesame - Part 1,Kool & The Gang,
Cathedrals,D.C. LaRue,spotify:track:4xLiKSg6Nj3kmB2wBrTYDd
Makes You Blind,The Glitter Band,spotify:track:022cwKemVAI8fMKym7qrps
Whispering/Cherchez La Femme/Se Si Bon,Dr. Buzzard's Original Savannah Band,
Sorry Seems To Be The Hardest Word,Elton John,spotify:track:6XfxmT5QNCXvpZA6PKfWVL
Mademoiselle,Styx,spotify:track:0zxaFukZdJNS413BD6mjG3
Enjoy Yourself,The Jacksons,spotify:track:4OdhWe5GZTkwAuNXLQZImM
Flight '76,The Walter Murphy Band,spotify:track:2K0a2ACBOlzWv5jF2hwqh2
It Keeps You Runnin',The Doobie Brothers,spotify:track:5wFdcY9O6cEn1PL6V3AEmu
Sherry,The Keane Brothers,
Saturday Nite,"Earth, Wind & Fire",spotify:track:1XCt27nKEY66dBkvBWBmnV
"Ob-la-di, Ob-la-da",The Beatles,spotify:track:1gFNm7cXfG1vSMcxPpSxec
This Song,George Harrison,spotify:track:51NqybxPpcK9zbVHojRrBH
"Baby, I'll Give It To You",Seals & Crofts,spotify:track:6GgKW7XGTtXwzCT2cfuQ5O
What Can I Say,Boz Scaggs,spotify:track:74t8MRGyoMSIkiN1f43gKc
Torn Between Two Lovers,Mary Macgregor,spotify:track:4qegwB7zI3FAianHx6jHZv
Walk This Way,Aerosmith,spotify:track:4JfuiOWlWCkjP6OKurHjSn
"9,999,999 Tears",Dickey Lee,spotify:track:1p7lNv2GO0hcl3VVa7vYGs
Blinded By The Light,Manfred Mann's Earth Band,spotify:track:7kNNylJ1kswWbHeRM6UDuE
Somebody To Love,Queen,spotify:track:6cFZ4PLC19taNlpl9pbGMf
Lost Without Your Love,Bread,spotify:track:1aRncYBtdizYoVKcSt8oaY
Ain't Nothing Like The Real Thing,Donny & Marie Osmond,spotify:track:3s0D8NiqXmaZdINIojlvJF
Drivin' Wheel,Foghat,spotify:track:330EfGkhYhSake0MY2SOiA
Do It To My Mind,Johnny Bristol,spotify:track:78VgIj2FYSaU1uygkmJ7l7
Weekend In New England,Barry Manilow,spotify:track:5XWmnuSMexMy6WRYz5rSfq
"Baby, Baby I Love You",Terry Cashman,
If Not You,Dr. Hook,spotify:track:5lIuw1DQsPOp3zF4fGowVv
Sixteen Reasons,Laverne & Shirley,spotify:track:1UtPgMObM33TO8RDFijCNQ
Dog Eat Dog,Ted Nugent,spotify:track:68ZeNG3zFACLGyj3LaLKzO
Laid Back Love,Major Harris,spotify:track:2mUnSn7NDQ3xEVdERedT7s
"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,
Fly Like An Eagle,Steve Miller,spotify:track:3e0FzZjTXOUtiJGSClOBrI
Night Moves,Bob Seger & The Silver Bullet Band,spotify:track:6UBjSnyP1O5W5ndJoO9vUk
Dancing Queen,ABBA,spotify:track:0GjEhVFGZW8afUYGChu3Rr
Year Of The Cat,Al Stewart,spotify:track:7MTX3vevnm41xuEoPxWT3j
Rich Girl,Daryl Hall John Oates,spotify:track:0qRR9d89hIS0MHRkQ0ejxX
Go Your Own Way,Fleetwood Mac,spotify:track:07GvNcU1WdyZJq3XxP0kZa
Don't Leave Me This Way,Thelma Houston,spotify:track:2rBBhFXtuMoGuwYTSDpAdF
Boogie Child,Bee Gees,spotify:track:4RL4cG2Ob0ecRi42Ve26O2
The Things We Do For Love,10cc,spotify:track:6KEWtSOGKpIXGw6l1uJgsR
New Kid In Town,Eagles,spotify:track:6Zyz8lsnMFpIrCTuvGurCB
Maybe I'm Amazed,Wings,spotify:track:3rsU41myYJwlHNASyuP5es
Carry On Wayward Son,Kansas,spotify:track:4DMKwE2E2iYDKY01C335Uw
Don't Give Up On Us,David Soul,spotify:track:2EDWTamwVRo9XZ6LapRDGA
Say You'll Stay Until Tomorrow,Tom Jones,spotify:track:2BWK9am114SC2Cq5KL2Fbs
I've Got Love On My Mind,Natalie Cole,spotify:track:5Zclj5e4Jv0Zo9FU9pDmPY
So In To You,Atlanta Rhythm Section,spotify:track:6yUlPFaPMNsJ88cImKVK6M
Long Time,Boston,spotify:track:39C5FuZ8C8M0QI8CrMsPkR
Crackerbox Palace,George Harrison,spotify:track:3XNTazYPvNL0YY93hC48fz
Living Next Door To Alice,Smokie,spotify:track:57TaM8GozkJBz90xvQ1xME
Sam,Olivia Newton-John,spotify:track:2ljjoZun9Xid1AAFKEEXam
Here Come Those Tears Again,Jackson Browne,spotify:track:0TEFPhz79iiutJXI0pNiur
Bite Your Lip (Get up and dance!),Elton John,spotify:track:3ABQtGJcxZHdMyqPbHTD95
Right Time Of The Night,Jennifer Warnes,spotify:track:2XKMIB0VzXF22pJpBKV6xn
Southern Nights,Glen Campbell,spotify:track:7kv7zBjMtVf0eIJle2VZxn
The First Cut Is The Deepest,Rod Stewart,spotify:track:3FeYjbIVqvAhuTcwsE6K3v
I Wish,Stevie Wonder,spotify:track:687YZan9Gol1UVvbpUSO6Y
Do Ya,Electric Light Orchestra,spotify:track:0NN32Knbyo4gM1DKY9rdzg
Free,Deniece Williams,spotify:track:5pANOgOr3fv1DxyxULU7Mh
Hotel California,Eagles,spotify:track:40riOy7x9W7GXjyGp4pjAv
Gloria,Enchantment,spotify:track:6v3Rv4R2OCseryFeLzux7C
Disco Lucy (i Love Lucy Theme),Wilton Place Street Band,
At Midnight (My Love Will Lift You Up),Rufus Featuring Chaka Khan,spotify:track:1c8e9rdsGARATWuBsHG852
Tryin' To Love Two,William Bell,spotify:track:6dPkTSUvQGUh705sLQ13HC
Spring Rain,Silvetti,spotify:track:3hRI5GKMNiAytaNjX9jq4X
All Strung Out On You,John Travolta,spotify:track:0gAHBSy33DrN9WYwrzskoq
Somethin' 'bout 'cha,Latimore,spotify:track:4VCzUA0r6OxLXzKaBGznt0
Moody Blue/she Thinks I Still Care,Elvis Presley,
Spring Affair/Winter Melody,Donna Summer,
Hard Luck Woman,KISS,spotify:track:1vcZBUX6P6FHXzG2mUfmCE
Save It For A Rainy Day,Stephen Bishop,spotify:track:5AHjRKFCVUaRClF2Oxx8Ld
I Wanna Get Next To You,Rose Royce,spotify:track:1rff5WJrSljfCLYFoXkDiT
Reach,Orleans,spotify:track:1AbZ6WttpwuiNrBqtnNcp3
"N.y., You Got Me Dancing",Andrea True Connection,spotify:track:2qGUQmL2AYt9IVimblFvSo
Kong,Dickie Goodman,spotify:track:7raErH6the8Y9JRGakXpl6
Be My Girl,The Dramatics,spotify:track:34nT7RkrF1bimYlQUFEpkq
Love In 'C' Minor,The Heart And Soul Orchestra,
You + Me = Love/Let's Go Down To The Disco,Undisputed Truth,
When I Need You,Leo Sayer,spotify:track:2TcwEYyydQuEMJwdmSgVLD
Ha Cha Cha (funktion),Brass Construction,spotify:track:4kBFrPP6brcgNEsSruP9cz
I'm Your Boogie Man,KC And The Sunshine Band,spotify:track:6mjlbRIgMTf2nqY0kq1rOJ
I'm Scared,Burton Cummings,spotify:track:2Vo4QsdcoU1ak1uCPWXBnl
Couldn't Get It Right,Climax Blues Band,spotify:track:7DisJ6gAPpdFgMimZjcYxl
Love In 'C' Minor - Pt. I,Cerrone,
Dedication,Bay City Rollers,spotify:track:6C7rPdbrdkJ83RS8dkDX18
Magical Mystery Tour,Ambrosia,spotify:track:5jwQH54Qg6gcm4hqXm0uLt
Race Among The Ruins,Gordon Lightfoot,spotify:track:1SAiMVOIMzwcm5VDBACiFI
Welcome To Our World (Of Merry Music),Mass Production,spotify:track:0sQ4OcMgLkLahjZ3D1D4OU
Phantom Writer,Gary Wright,spotify:track:7smZ1fdUjFYNHCOhV7aoAs
Angel In Your Arms,Hot,spotify:track:1qOwgAjki5VN0G2kXEUCLG
There Will Come A Day (I'm Gonna Happen To You),Smokey Robinson,spotify:track:73rHeY2aUG59do11q7lN76
Lido Shuffle,Boz Scaggs,spotify:track:7pG7odMa9PQ7ME0ZfnyR8d
My Sweet Lady,John Denver,spotify:track:08ZAVXwts5Ye1PFBNo3NGS
"""Roots"" Medley",Quincy Jones,
Sometimes,Facts Of Life,spotify:track:5v2wooHJc7meFpt80x7lpQ
Heard It In A Love Song,The Marshall Tucker Band,spotify:track:0xTY7Tld4DRxqUhxdw7bZW
Disco Inferno,The Trammps,spotify:track:5jUA1njy3h6ynHLvPdEVHt
Dancin' Man,Q,spotify:track:6RBK4wOuI4nw3pYT3MSTjm
Dreamin,Loleatta Holloway,spotify:track:5JWbh2iOVqgOAExDnduyHB
Dancin',Crown Heights Affair,spotify:track:33aC5yS5jNwk31sbFPNt5K
Sailing Ships,Mesa,
You Know Like I Know,Ozark Mountain Daredevils,spotify:track:5de8C2whEHDn4uVSehQwWe
Your Own Special Way,Genesis,spotify:track:2Ms1KUhLjXQDQplj18G6do
Uptown Festival (Part 1),Shalamar,
Do What You Wanna Do,T-Connection,spotify:track:2JJGAY5WicE5ak55pvtGVP
Bodyheat (Part 1),James Brown,
Love Is Better In The A.M. (Part 1),Johnnie Taylor,spotify:track:6U7kl15TucIlCdJiV2qBnb
Wake Up And Be Somebody,Brainstorm,spotify:track:0FYbAzaNnBTtgcmYGPdqS3
Fire Sign,Cory,
Romeo,Mr. Big,spotify:track:1rMccY0cv3lSzxBkq1V5vA
I Think We're Alone Now,The Rubinoos,spotify:track:7hvoyetcJ26N0123e9lhkf
Theme From Rocky (gonna Fly Now),Rhythm Heritage,spotify:track:6lLScAaYXs7dFKhntpeMaZ
I Wanna Do It To You,Jerry Butler,
Old Fashioned Boy (You're The One),Stallion,
Try It On,Exile,
Time Is Movin',The Blackbyrds,spotify:track:6qLs56fv8Qdt88oh7JZkDu
It Ain't Easy Comin' Down,Charlene,spotify:track:7lBiaYRWhr1LpT0L1KS3bc
For Elise,The Philarmonics,
Calling Dr. Love,KISS,spotify:track:7xD7MvjAdZkx1YICschIuI
Can't Stop Dancin',Captain & Tennille,spotify:track:5ODYB65yumUUrL2aYtvHsU
Your Love,"Marilyn McCoo & Billy Davis, Jr.",spotify:track:1rn2xCVnu5oIGFYUih6ubB
Tie Your Mother Down,Queen,spotify:track:6K8gEgGkOyD1wFY3kAcyOy
Lonely Boy,Andrew Gold,spotify:track:6wGMLoEqD2k3RBXFHD0yUp
You're Throwing A Good Love Away,The Spinners,spotify:track:0t3JTvtTR1Cj87cpx29u4A
Hello Stranger,Yvonne Elliman,spotify:track:68zZesWCZEi5nH8JiEzP63
If You've Got The Time,The Babys,spotify:track:4dhiYSQQhmsunBbJESSFJR
Cherry Baby,Starz,spotify:track:6LZVAsCB1OEjue9kjZwdyl
(Theme from) Charlie's Angels,Henry Mancini And His Orchestra,spotify:track:0ZA8EGsw0Zy0PEM2R875yS
You Take My Heart Away,James Darren,spotify:track:49dHSs71gext9qKLOrnBqv
Whodunit,Tavares,spotify:track:50N1Ondh2JFdM5R7BBcRct
