title,artist,debut
Your Cheatin' Heart,Billy Vaughn And His Orchestra,1959-04-27
A String Of Trumpets,The Trumpeteers,1959-04-27
Summer Dreams,The McGuire Sisters,1959-04-27
Kansas City,Hank Ballard And The Midnighters,1959-05-04
Lonesome Old House,Don Gibson,1959-05-04
Just Keep It Up,Dee Clark,1959-05-04
Peace,The McGuire Sisters,1959-05-04
You Made Me Love You,Nat King Cole,1959-05-04
Young Ideas,Chico Holiday,1959-05-04
White Lightning,George Jones,1959-05-04
The Fountain Of Youth,The Four Lads,1959-05-04
Old Spanish Town,The Bell Notes,1959-05-04
Separate Ways,Sarah Vaughan,1959-05-04
Kansas City,Rocky Olson,1959-05-04
Three Stars,Ruby Wright,1959-05-04
Talk Of The School,Sonny James,1959-05-04
I'm Ready,Fats Domino,1959-05-11
Margie,Fats Domino,1959-05-11
Eternally,Thomas Wayne With the Delons,1959-05-11
Little Dipper,The Mickey Mozart Quintet,1959-05-11
Tallahassee Lassie,Freddy Cannon,1959-05-11
Kansas City (Hey-Hey-Hey-Hey),Little Richard,1959-05-11
Love Me In The Daytime,Doris Day,1959-05-11
Lipstick On Your Collar,Connie Francis,1959-05-18
So Close,Brook Benton,1959-05-18
My Melancholy Baby,Tommy Edwards,1959-05-18
Frankie,Connie Francis,1959-05-18
Tall Cool One,The Wailers,1959-05-18
"Hallelujah, I Love Him So",Peggy Lee,1959-05-18
Bongo Rock,Preston Epps,1959-05-18
Graduation's Here,The Fleetwoods,1959-05-18
Judy,David Seville,1959-05-18
Hey Little Lucy! (Don'tcha Put No Lipstick On),Conway Twitty,1959-05-18
Along Came Jones,The Coasters,1959-05-18
The Class,Chubby Checker,1959-05-18
Russian Band Stand,Spencer & Spencer with the Sonia Pryor Choir,1959-05-18
(I Don't Care) Only Love Me,Steve Lawrence,1959-05-18
The Wonder Of You,Ray Peterson,1959-05-18
Someone To Come Home To,The Ames Brothers,1959-05-18
I Can't Get You Out Of My Heart,Al Martino,1959-05-18
Bobby Sox To Stockings,Frankie Avalon,1959-05-25
A Boy Without A Girl,Frankie Avalon,1959-05-25
I Must Be Dreaming,Nat King Cole,1959-05-25
What A Diff'rence A Day Makes,Dinah Washington,1959-05-25
Hushabye,The Mystics,1959-05-25
The Battle Of New Orleans,Vaughn Monroe,1959-05-25
There Is Something On Your Mind,Big Jay McNeely And Band,1959-05-25
Lonely Saturday Night,Don French,1959-05-25
Straight Flush,The Frantics,1959-05-25
Waterloo,Stonewall Jackson,1959-05-25
Lonely Boy,Paul Anka,1959-06-01
I Only Have Eyes For You,The Flamingos,1959-06-01
Ring-A-Ling-A-Lario,Jimmie Rodgers,1959-06-01
Danny Boy,Sil Austin,1959-06-01
Velvet Waters,The Megatrons,1959-06-01
Mona Lisa,Carl Mann,1959-06-01
It's Only The Good Times,Tommy Edwards,1959-06-01
This I Swear,The Skyliners,1959-06-01
Sweet Chile,Sheb Wooley,1959-06-01
Mary Ann Thomas,Bobby Freeman,1959-06-01
Yes - Sir - ee,Dodie Stevens,1959-06-01
Like Young,Andre Previn With David Rose,1959-06-01
Pointed Toe Shoes,Carl Perkins,1959-06-01
There Goes My Baby,The Drifters,1959-06-01
Cherrystone,Addrisi Brothers,1959-06-01
Jack O'Diamonds,Ruth Brown,1959-06-01
I'm Gonna Change Him,Cathy Carr,1959-06-08
Only Sixteen,Sam Cooke,1959-06-08
Forty Days,Ronnie Hawkins,1959-06-08
I Know,Perry Como,1959-06-08
La Plume De Ma Tante,Hugo & Luigi,1959-06-08
"One Love, One Heart",The Four Coins,1959-06-08
Flower Of Love,The Crests featuring Johnny Mastro,1959-06-08
The Whistling Organ,"Dave ""Baby"" Cortez",1959-06-08
Tiger,Fabian,1959-06-15
Twixt Twelve And Twenty,Pat Boone,1959-06-15
Since You've Been Gone,Clyde McPhatter,1959-06-15
M.T.A.,The Kingston Trio,1959-06-15
Wonderful You,Jimmie Rodgers,1959-06-15
With My Eyes Wide Open I'm Dreaming,Patti Page,1959-06-15
Little Boy Blue,Huelyn Duvall,1959-06-15
Taboo,Arthur Lyman,1959-06-15
A Prayer And A Juke Box,Little Anthony And The Imperials,1959-06-15
Forty Miles Of Bad Road,Duane Eddy And The Rebels,1959-06-15
Small World,Johnny Mathis,1959-06-15
High Hopes,"Frank Sinatra ""and a bunch of kids""",1959-06-15
With My Eyes Wide Open I'm Dreaming,Enoch Light & The Light Brigade,1959-06-15
Cap And Gown,Marty Robbins,1959-06-15
Back In The U.S.A.,Chuck Berry,1959-06-22
Lavender-Blue,Sammy Turner,1959-06-22
I'll Be Satisfied,Jackie Wilson,1959-06-22
Remember When,The Platters,1959-06-22
Gotta New Girl,Bobby Day,1959-06-22
I Love An Angel,Little Bill and The Bluenotes,1959-06-22
"Ciao, Ciao Bambina",Jacky Noguez And His Musette Orchestra,1959-06-22
It Was I,Skip And Flip,1959-06-22
"Oh, What A Fool",The Impalas,1959-06-22
Just A Little Too Much,Ricky Nelson,1959-06-29
The Quiet Three,Duane Eddy His Twangy Guitar And The Rebels,1959-06-29
Till There Was You,Anita Bryant,1959-06-29
Sweet Someone,Eddie and Betty,1959-06-29
The Five Pennies,Dodie Stevens,1959-06-29
See You In September,The Tempos,1959-06-29
Kissin' Time,Bobby Rydell,1959-06-29
Beach Time,Roger Smith,1959-06-29
Here Comes Summer,Jerry Keller,1959-06-29
Happy Vacation,Jackie Lee,1959-06-29
The Way I Walk,Jack Scott,1959-06-29
A Big Hunk O' Love,Elvis Presley With The Jordanaires,1959-07-06
Sweeter Than You,Ricky Nelson,1959-07-06
Ragtime Cowboy Joe,David Seville And The Chipmunks,1959-07-06
Bei Mir Bist Du Schön,Louis Prima And Keely Smith,1959-07-06
What'd I Say (Part I & II),Ray Charles and his Orchestra,1959-07-06
Ten Thousand Drums,Carl Smith,1959-07-06
Sea Of Love,Phil Phillips With The Twilights,1959-07-06
What Is Love?,The Playmates,1959-07-06
Lonely Guitar,Annette,1959-07-06
Sweet Sugar Lips,The Kalin Twins,1959-07-06
Crackin Up,Bo Diddley,1959-07-06
My Wish Came True,Elvis Presley With The Jordanaires,1959-07-13
Thank You Pretty Baby,Brook Benton,1959-07-13
Katy Too,Johnny Cash And The Tennessee Two,1959-07-13
Tennessee Stud,Eddy Arnold,1959-07-13
To A Soldier Boy,The Tassels,1959-07-13
I'm Coming Home,Marv Johnson,1959-07-13
Rockin' In The Jungle,The Eternals,1959-07-13
Dedicated To The One I Love,The Shirelles,1959-07-13
Little Girl,Ritchie Valens,1959-07-13
"Bells, Bells, Bells (The Bell Song)",Billy & Lillie,1959-07-13
I Still Get Jealous,Joni James,1959-07-13
On An Evening In Roma,Dean Martin,1959-07-13
Sugaree,Rusty York,1959-07-20
With All Of My Heart,Brook Benton,1959-07-20
Mona Lisa,Conway Twitty,1959-07-20
Cry,The Knightsbridge Strings,1959-07-20
Martinique,The Exotic Sounds of Martin Denny,1959-07-20
Linda Lu,Ray Sharpe,1959-07-20
A Girl Like You,Gary Stites,1959-07-20
Makin' Love,Floyd Robinson,1959-07-20
Broken-Hearted Melody,Sarah Vaughan,1959-07-20
Summer's Love,Richard Barrett With The Chantels,1959-07-20
The Three Bells,The Browns,1959-07-27
I'm Gonna Be A Wheel Some Day,Fats Domino,1959-07-27
Sleep Walk,Santo & Johnny,1959-07-27
So High So Low,LaVern Baker,1959-07-27
With Open Arms,Jane Morgan,1959-07-27
Half-Breed,Marvin Rainwater,1959-07-27
You Don't Know Girls,Kathy Linden,1959-07-27
Who Shot Sam,George Jones,1959-07-27
Baby Talk,Jan & Dean,1959-08-03
Red River Rock,Johnny And The Hurricanes,1959-08-03
Leave My Kitten Alone,Little Willie John,1959-08-03
Caribbean,Mitchell Torok,1959-08-03
Angel Face,Jimmy Darren,1959-08-03
My Own True Love,Jimmy Clanton,1959-08-03
Time Marches On,Roy Hamilton,1959-08-03
"I Loves You, Porgy",Nina Simone,1959-08-03
Soldier's Joy,Hawkshaw Hawkins,1959-08-03
Midnight Flyer,Nat King Cole,1959-08-03
I Got Stripes,Johnny Cash,1959-08-03
Miami,Eugene Church,1959-08-03
Gee,George Hamilton IV,1959-08-03
Alimony,Frankie Ford,1959-08-03
I Want To Walk You Home,Fats Domino,1959-08-10
I'm Gonna Get Married,Lloyd Price,1959-08-10
Like I Love You,Edd Byrnes and Friend,1959-08-10
I've Been There,Tommy Edwards,1959-08-10
Don't Tell Me Your Troubles,Don Gibson,1959-08-10
Furry Murray,The Tradewinds,1959-08-10
Just As Much As Ever,Bob Beckham,1959-08-10
I Ain't Never,Webb Pierce,1959-08-10
('til) I Kissed You,The Everly Brothers,1959-08-17
Mary Lou,Ronnie Hawkins and The Hawks,1959-08-17
Morgen,Ivo Robic and The Song-Masters,1959-08-17
Primrose Lane,Jerry Wallace With The Jewels,1959-08-17
Mau-Mau,The Wailers,1959-08-17
The Angels Listened In,The Crests,1959-08-17
Smile,Tony Bennett,1959-08-17
If You Love Me,LaVern Baker,1959-08-17
A Girl's Work Is Never Done,The Chordettes,1959-08-17
Sal's Got A Sugar Lip,Johnny Horton,1959-08-17
Mack The Knife,Bobby Darin,1959-08-24
Johnny Reb,Johnny Horton,1959-08-24
Poison Ivy,The Coasters,1959-08-24
The Mummy,Bob McFadden And Dor,1959-08-24
Hey Little Girl,Dee Clark,1959-08-24
True True Happiness,Johnny Tillotson,1959-08-24
Five Feet High And Rising,Johnny Cash,1959-08-24
Chapel Of Dreams,The Dubs,1959-08-24
Okefenokee,Freddie Cannon,1959-08-24
Twice As Nice,Clyde McPhatter,1959-08-24
Poco-Loco,Gene & Eunice,1959-08-24
I Looked At Heaven,Tommy Edwards,1959-08-24
Just Ask Your Heart,Frankie Avalon,1959-08-31
Put Your Head On My Shoulder,Paul Anka,1959-08-31
Somethin Else,Eddie Cochran,1959-08-31
You're Gonna Miss Me,Connie Francis,1959-08-31
The Three Bells (The Jimmy Brown Story),Dick Flood,1959-08-31
Suzie Baby,Bobby Vee and The Shadows,1959-08-31
Betty My Angel,Jerry Fuller,1959-08-31
I Cried,Joe Damiano,1959-08-31
Sweet Bird Of Youth,Nat King Cole,1959-08-31
The Caterpillar Crawl,The Strangers,1959-08-31
I'm A Hog For You,The Coasters,1959-09-07
Lonely Street,Andy Williams,1959-09-07
Mr. Blue,The Fleetwoods,1959-09-07
The Battle Of Kookamonga,Homer And Jethro,1959-09-07
Come On And Get Me,Fabian,1959-09-07
Battle Hymn Of The Republic,The Mormon Tabernacle Choir,1959-09-07
Where,The Platters,1959-09-07
Breaking Up Is Hard To Do,Jivin' Gene And The Jokers,1959-09-07
Teen Beat,Sandy Nelson,1959-09-07
The Shape I'm In,Johnny Restivo,1959-09-07
You Were Mine,Fireflies,1959-09-07
You Better Know It,Jackie Wilson,1959-09-07
Fools Hall Of Fame,Pat Boone,1959-09-14
Deck Of Cards,Wink Martindale,1959-09-14
Love Potion No. 9,The Clovers,1959-09-14
Every Little Thing I Do,Dion & The Belmonts,1959-09-14
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,1959-09-14
A Worried Man,The Kingston Trio,1959-09-14
Fog Cutter,The Frantics,1959-09-14
Private Eye,The Olympics,1959-09-14
Wish It Were Me,The Platters,1959-09-14
One More Sunrise (Morgen),Leslie Uggams,1959-09-14
I'll Never Fall In Love Again,Johnnie Ray,1959-09-14
I Ain't Never,The Four Preps,1959-09-14
Got The Feeling,Fabian,1959-09-21
Ski King,E.C. Beatty,1959-09-21
Say Man,Bo Diddley,1959-09-21
Don't You Know,Della Reese,1959-09-21
Boogie Bear,Boyd Bennett,1959-09-21
Shout - Part 1,The Isley Brothers,1959-09-21
Tucumcari,Jimmie Rodgers,1959-09-21
Two Fools,Frankie Avalon,1959-09-21
Six Boys And Seven Girls,Anita Bryant,1959-09-21
Plenty Good Lovin',Connie Francis,1959-09-21
In The Mood,Ernie Fields & Orch.,1959-09-21
"Darling, I Love You",Al Martino,1959-09-28
Danny Boy,Conway Twitty,1959-09-28
I'll Be Seeing You,Tommy Sands,1959-09-28
Living Doll,Cliff Richard and The Drifters,1959-09-28
It Happened Today,The Skyliners,1959-09-28
Boo Boo Stick Beat,Chet Atkins,1959-09-28
Torquay,Fireballs,1959-09-28
"First Love, First Tears",Duane Eddy His Twangy Guitar And The Rebels,1959-09-28
The Enchanted Sea,The Islanders,1959-09-28
Woo-Hoo,Rock-A-Teens,1959-10-05
Misty,Johnny Mathis,1959-10-05
Some Kind-A Earthquake,Duane Eddy His Twangy Guitar And The Rebels,1959-10-05
If I Give My Heart To You,Kitty Kallen,1959-10-05
Heartaches By The Number,Guy Mitchell,1959-10-05
Joey's Song,Bill Haley And His Comets,1959-10-05
Unforgettable,Dinah Washington,1959-10-05
Just To Be With You,The Passions,1959-10-05
Bad Girl,The Miracles,1959-10-05
Love Walked In,The Flamingos,1959-10-05
We Got Love,Bobby Rydell,1959-10-12
I Dig Girls,Bobby Rydell,1959-10-12
Oh! Carol,Neil Sedaka,1959-10-12
Running Bear,Johnny Preston,1959-10-12
If You Don't Want My Lovin',"Carl Dobkins, Jr.",1959-10-12
I Don't Know,Ruth Brown,1959-10-12
Goodbye Charlie,Patti Page,1959-10-12
Dance With Me,The Drifters,1959-10-12
The Story Of Our Love,Johnny Mathis,1959-10-12
There Comes A Time,Jack Scott,1959-10-12
So Many Ways,Brook Benton,1959-10-19
Talk To Me,Frank Sinatra,1959-10-19
A Lover's Prayer,Dion & The Belmonts,1959-10-19
Tennessee Waltz,Jerry Fuller,1959-10-19
Living Doll,David Hill,1959-10-19
Igmoo (The Pride Of South Central High),Stonewall Jackson,1959-10-19
High School U.S.A.,Tommy Facenda,1959-10-19
The Clouds,The Spacemen,1959-10-19
Midnight Stroll,The Revels,1959-10-19
Don't Take The Stars,The Mystics,1959-10-19
Believe Me,Royal Teens,1959-10-26
Tennessee Waltz,Bobby Comstock,1959-10-26
Pretend,Carl Mann,1959-10-26
Be My Guest,Fats Domino,1959-10-26
The Enchanted Sea,The Exotic Sounds of Martin Denny,1959-10-26
You Mean Everything To Me,The Fleetwoods,1959-10-26
The Hunch,Bobby Peterson Quintet,1959-10-26
Come Into My Heart,Lloyd Price and His Orchestra,1959-10-26
I'll Be Seeing You,Poni-Tails,1959-10-26
First Name Initial,Annette With The Afterbeats,1959-10-26
I've Been Around,Fats Domino,1959-10-26
The Hunch,Paul Gayten,1959-10-26
My Heart Became Of Age,Annette With The Afterbeats,1959-10-26
There's A Girl,Jan & Dean,1959-10-26
Always,Sammy Turner,1959-11-02
"(If You Cry) True Love, True Love",The Drifters,1959-11-02
You Went Back On Your Word,Clyde McPhatter,1959-11-02
Starry Eyed,Gary Stites,1959-11-02
Scarlet Ribbons (For Her Hair),The Browns,1959-11-02
Tiny Tim,LaVern Baker,1959-11-02
You Got What It Takes,Marv Johnson,1959-11-02
Reveille Rock,Johnny And The Hurricanes,1959-11-02
Fancy Nancy,Skip And Flip,1959-11-02
Honestly And Truly,Tommy Edwards,1959-11-02
Smooth Operator,Sarah Vaughan,1959-11-02
Wheel Of Fortune,The Knightsbridge Strings,1959-11-02
Marina,Rocco Granata and the International Quintet,1959-11-09
Uh! Oh! Part 2,The Nutty Squirrels,1959-11-09
Happy Anniversary,Jane Morgan,1959-11-09
El Paso,Marty Robbins,1959-11-09
Happy Anniversary,The Four Lads,1959-11-09
One More Chance,Rod Bernard,1959-11-09
Don't Destroy Me,Crash Craddock,1959-11-09
I'm Movin' On,Ray Charles and his Orchestra,1959-11-09
Old Shep,Ralph DeMarco,1959-11-09
"There, I've Said It Again",Sam Cooke,1959-11-09
Wont'cha Come Home,Lloyd Price and His Orchestra,1959-11-09
The Big Hurt,Miss Toni Fisher,1959-11-16
The Best Of Everything,Johnny Mathis,1959-11-16
Hound Dog Man,Fabian,1959-11-16
Goodnight My Love (Pleasant Dreams),Ray Peterson,1959-11-16
Gilee,Sonny Spencer,1959-11-16
Marina,Jacky Noguez And His Orchestra,1959-11-16
God Bless America,Connie Francis,1959-11-16
(New In) The Ways Of Love,Tommy Edwards,1959-11-16
I'll Walk The Line,Don Costa And His Orchestra And Chorus,1959-11-16
So Young,Clyde Stacy,1959-11-16
This Friendly World,Fabian,1959-11-23
Way Down Yonder In New Orleans,Freddie Cannon,1959-11-23
It's Time To Cry,Paul Anka,1959-11-23
Among My Souvenirs,Connie Francis,1959-11-23
Pretty Blue Eyes,Steve Lawrence,1959-11-23
Talk That Talk,Jackie Wilson,1959-11-23
Sandy,Larry Hall,1959-11-23
Why,Frankie Avalon,1959-11-23
We Told You Not To Marry,Titus Turner,1959-11-23
I Wanna Be Loved,Ricky Nelson,1959-11-30
Tear Drop,Santo & Johnny,1959-11-30
Marina,Willy Alberti,1959-11-30
Mighty Good,Ricky Nelson,1959-11-30
Symphony,Sammy Turner,1959-11-30
Shadows,5 Satins,1959-11-30
Beyond The Sunset,Pat Boone,1959-11-30
Smokie - Part 2,Bill Black's Combo,1959-11-30
Teach Me Tiger,April Stevens,1959-11-30
A Year Ago Tonight,The Crests,1959-12-07
What About Us,The Coasters,1959-12-07
The Happy Reindeer,"Dancer, Prancer And Nervous",1959-12-07
Lucky Devil,"Carl Dobkins, Jr.",1959-12-07
"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials,1959-12-07
"Go, Jimmy, Go",Jimmy Clanton,1959-12-07
How About That,Dee Clark,1959-12-07
Uh! Oh! Part 1,The Nutty Squirrels,1959-12-07
The Village Of St. Bernadette,Andy Williams,1959-12-14
Not One Minute More,Della Reese,1959-12-14
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,1959-12-14
Do-Re-Mi,Mitch Miller,1959-12-14
Ebb Tide,Bobby Freeman,1959-12-14
I Don't Know What It Is,The Bluenotes,1959-12-14
Candy Apple Red,Bonnie Guitar,1959-12-14
CooCoo-U,The Kingston Trio,1959-12-14
Just Come Home,Hugo & Luigi,1959-12-14
Climb Ev'ry Mountain,Tony Bennett,1959-12-21
Baciare Baciare (Kissing Kissing),Dorothy Collins,1959-12-21
Run Red Run,The Coasters,1959-12-21
The Little Drummer Boy,Johnny Cash,1959-12-21
Swingin' On A Rainbow,Frankie Avalon,1959-12-21
Let's Try Again,Clyde McPhatter,1959-12-21
This Time Of The Year,Brook Benton,1959-12-21
If I Had A Girl,Rod Lauren,1959-12-21
Sweet Nothin's,Brenda Lee,1959-12-21
Teen Angel,Mark Dinning,1959-12-21
He'll Have To Go,Jim Reeves,1959-12-28
Mary Don't You Weep,Stonewall Jackson,1959-12-28
No Love Have I,Webb Pierce,1959-12-28
Where Or When,Dion & The Belmonts,1959-12-28
Down By The Station,The Four Preps,1959-12-28
Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels,1959-12-28
Handy Man,Jimmy Jones,1959-12-28
Promise Me A Rose (A Slight Detail),Anita Bryant,1959-12-28
Lonely Blue Boy,Conway Twitty,1959-12-28
Honey Hush,Joe Turner,1959-12-28
Little Things Mean A Lot,Joni James,1959-12-28
Do-Re-Mi,Anita Bryant,1959-12-28
Harlem Nocturne,The Viscounts,1959-12-28
The Sound Of Music,Patti Page,1959-12-28
Darling Lorraine,The Knockouts,1959-12-28
Crazy Arms,Bob Beckham,1960-01-04
Skokiaan (South African Song),Bill Haley And His Comets,1960-01-04
Rockin' Little Angel,Ray Smith,1960-01-04
Tracy's Theme,Spencer Ross,1960-01-04
Riverboat,Faron Young,1960-01-04
In The Still Of The Nite,The Five Satins,1960-01-04
Little Coco Palm,Jerry Wallace,1960-01-04
One Mint Julep,Chet Atkins,1960-01-04
Smokie-Part 2,Bill Doggett,1960-01-04
What In The World's Come Over You,Jack Scott,1960-01-11
Let It Be Me,The Everly Brothers,1960-01-11
T.L.C. Tender Love And Care,Jimmie Rodgers,1960-01-11
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1960-01-11
Let The Good Times Roll,Ray Charles,1960-01-11
Tell Her For Me,Adam Wade,1960-01-11
Bulldog,The Fireballs,1960-01-11
Teenage Hayride,Tender Slim,1960-01-11
Beyond The Sea,Bobby Darin,1960-01-18
Waltzing Matilda,Jimmie Rodgers,1960-01-18
Why Do I Love You So,Johnny Tillotson,1960-01-18
Am I That Easy To Forget,Debbie Reynolds,1960-01-18
Amapola,Jacky Noguez And His Orchestra,1960-01-18
Too Much Tequila,The Champs,1960-01-18
Cry Me A River,Janice Harper,1960-01-18
I Forgot More Than You'll Ever Know,Sonny James,1960-01-18
Up Town,Roy Orbison,1960-01-18
Time After Time,Frankie Ford,1960-01-18
The Happy Muleteer,Ivo Robic,1960-01-18
Since I Made You Cry,The Rivieras,1960-01-18
Midnite Special,Paul Evans,1960-01-25
Forever,The Little Dippers,1960-01-25
Baby (You've Got What It Takes),Dinah Washington & Brook Benton,1960-01-25
On The Beach,Frank Chacksfield And His Orch.,1960-01-25
Harbor Lights,The Platters,1960-01-25
My Little Marine,Jamie Horton,1960-01-25
I Can't Say Goodbye,The Fireflies Featuring Ritchie Adams,1960-01-25
I Was Such A Fool (To Fall In Love With You),The Flamingos,1960-01-25
Mediterranean Moon,The Rays,1960-01-25
I'll Take Care Of You,Bobby Bland,1960-01-25
Livin' Dangerously,The McGuire Sisters,1960-01-25
Secret Of Love,Elton Anderson With Sid Lawrence Combo,1960-01-25
Country Boy,Fats Domino,1960-02-01
China Doll,The Ames Brothers,1960-02-01
Lady Luck,Lloyd Price and His Orchestra,1960-02-01
Wild One,Bobby Rydell,1960-02-01
Let It Rock,Chuck Berry,1960-02-01
Time And The River,Nat King Cole,1960-02-01
That Old Feeling,Kitty Kallen,1960-02-01
Little Bitty Girl,Bobby Rydell,1960-02-01
Sixteen Reasons,Connie Stevens,1960-02-01
(There Was A) Tall Oak Tree,Dorsey Burnette,1960-02-01
Money (That's what I want),Barrett Strong,1960-02-01
Peace Of Mind,Teresa Brewer,1960-02-01
Fannie Mae,Buster Brown,1960-02-01
(Baby) Hully Gully,The Olympics,1960-02-01
